,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
177,3rd,"(647, 238)","(784, 220)","(715, 229)","(733, 315)","(1243, 363)","[[-3.07844306]
 [ 0.23411647]
 [ 0.42333287]]","[[1023.89270921]
 [  -4.18192009]
 [1471.16753478]]"
178,3rd,"(647, 240)","(780, 223)","(713, 231)","(730, 319)","(1259, 378)","[[-3.07556624]
 [ 0.23445906]
 [ 0.40259575]]","[[1022.51734952]
 [   3.57830029]
 [1473.28578664]]"
179,3rd,"(645, 239)","(778, 216)","(711, 227)","(725, 321)","(1041, 448)","[[-2.9949486 ]
 [ 0.24584716]
 [ 0.58109302]]","[[ 983.61849035]
 [   6.19571715]
 [1455.43979225]]"
180,3rd,"(644, 240)","(778, 214)","(711, 227)","(730, 319)","(1216, 449)","[[-3.01813214]
 [ 0.26114746]
 [ 0.45590758]]","[[ 995.74150828]
 [   5.41985385]
 [1443.15407013]]"
181,3rd,"(645, 244)","(780, 226)","(712, 235)","(728, 324)","(1072, 426)","[[-3.0264994 ]
 [ 0.21337362]
 [ 0.55630828]]","[[1003.2275912 ]
 [  17.60771401]
 [1470.88088529]]"
182,3rd,"(645, 241)","(778, 219)","(711, 230)","(728, 324)","(1517, 437)","[[-3.0605374 ]
 [ 0.23496102]
 [ 0.25538657]]","[[ 977.37946517]
 [  11.36404963]
 [1408.43690919]]"
183,3rd,"(645, 243)","(779, 225)","(712, 234)","(728, 321)","(1087, 418)","[[-3.02556608]
 [ 0.20509207]
 [ 0.52475287]]","[[1018.95234163]
 [   8.25751727]
 [1494.85120538]]"
184,3rd,"(637, 254)","(774, 233)","(705, 243)","(723, 330)","(1125, 430)","[[-3.05043944]
 [ 0.25379903]
 [ 0.49523203]]","[[ 995.14075995]
 [  32.93752774]
 [1474.5356173 ]]"
185,3rd,"(639, 253)","(775, 233)","(707, 243)","(726, 330)","(1227, 405)","[[-3.07996014]
 [ 0.27322378]
 [ 0.42068571]]","[[1001.60057844]
 [  30.22205129]
 [1466.84429825]]"
186,3rd,"(636, 251)","(769, 227)","(702, 239)","(721, 330)","(1156, 465)","[[-3.02494719]
 [ 0.28824135]
 [ 0.48669177]]","[[ 968.2708338 ]
 [  27.64769436]
 [1439.28305781]]"
187,3rd,"(634, 250)","(766, 227)","(700, 238)","(717, 330)","(1117, 455)","[[-3.02949792]
 [ 0.27339919]
 [ 0.51002464]]","[[ 958.7571116 ]
 [  27.96270992]
 [1439.84431853]]"
