,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
28,3rd,"(641, 275)","(782, 276)","(711, 275)","(714, 403)","(2103, 903)","[[-3.02541098]
 [ 0.02409456]
 [ 0.11286305]]","[[ 868.59583406]
 [ 147.94217703]
 [1268.2041447 ]]"
29,3rd,"(638, 276)","(775, 277)","(706, 276)","(709, 402)","(1736, 892)","[[-2.97392472]
 [ 0.0340444 ]
 [ 0.18029542]]","[[ 877.77785124]
 [ 147.01069496]
 [1313.02055586]]"
30,3rd,"(632, 278)","(778, 279)","(705, 278)","(707, 410)","(1709, 1006)","[[-2.9507586 ]
 [ 0.05984822]
 [ 0.25314513]]","[[ 840.27483755]
 [ 154.17124294]
 [1271.55058062]]"
31,3rd,"(632, 280)","(770, 281)","(701, 280)","(707, 403)","(1665, 899)","[[-2.97636735]
 [ 0.05140176]
 [ 0.21852108]]","[[ 863.28679241]
 [ 154.59777293]
 [1310.18368065]]"
32,3rd,"(633, 279)","(771, 279)","(702, 279)","(709, 403)","(1657, 902)","[[-2.96972395]
 [ 0.07027371]
 [ 0.2302446 ]]","[[ 866.14400448]
 [ 149.96345311]
 [1308.11734829]]"
33,3rd,"(676, 273)","(811, 273)","(743, 273)","(759, 397)","(2076, 888)","[[-2.96923211]
 [ 0.06098068]
 [ 0.07269087]]","[[ 981.16654643]
 [ 134.97556987]
 [1315.94448126]]"
34,3rd,"(678, 272)","(812, 274)","(745, 273)","(766, 395)","(2190, 830)","[[-3.00279451]
 [ 0.05225085]
 [ 0.0342443 ]]","[[ 992.49868857]
 [ 130.14779568]
 [1313.69725514]]"
35,3rd,"(676, 274)","(816, 275)","(746, 274)","(767, 397)","(2099, 891)","[[-2.97311215]
 [ 0.05413564]
 [ 0.08190281]]","[[ 993.59981813]
 [ 138.33523072]
 [1314.04297713]]"
36,3rd,"(684, 273)","(816, 275)","(750, 274)","(766, 395)","(2132, 834)","[[-3.00003635]
 [ 0.04349092]
 [ 0.06421768]]","[[1000.98569082]
 [ 134.80503915]
 [1319.10332548]]"
37,3rd,"(685, 273)","(818, 275)","(751, 274)","(765, 395)","(2102, 867)","[[-2.98179097]
 [ 0.03564497]
 [ 0.07700352]]","[[ 994.68039517]
 [ 134.82391223]
 [1316.17670684]]"
38,3rd,"(681, 274)","(814, 276)","(747, 275)","(761, 390)","(2071, 773)","[[-3.0248076 ]
 [ 0.03627399]
 [ 0.0889379 ]]","[[ 995.75831228]
 [ 130.3208369 ]
 [1325.20158258]]"
39,3rd,"(673, 275)","(810, 276)","(741, 275)","(760, 394)","(2100, 820)","[[-3.00639023]
 [ 0.04597733]
 [ 0.06404446]]","[[ 987.59998483]
 [ 134.983275  ]
 [1321.28904124]]"
40,3rd,"(640, 275)","(792, 277)","(716, 276)","(725, 405)","(4249, 1711)","[[-3.02137952]
 [-0.0181724 ]
 [ 0.05612395]]","[[ 774.3992211 ]
 [ 142.67979965]
 [1109.104297  ]]"
41,3rd,"(633, 272)","(782, 274)","(707, 273)","(704, 401)","(2796, 1209)","[[-3.01715261]
 [-0.02015418]
 [ 0.09060525]]","[[ 789.30248926]
 [ 140.72715626]
 [1173.98092518]]"
42,4th,"(567, 268)","(708, 272)","(637, 270)","(623, 394)","(172, 627)","[[-2.58797805]
 [ 0.13684456]
 [ 1.32716132]]","[[ 618.2257364 ]
 [ 138.18055903]
 [1323.5427362 ]]"
43,4th,"(566, 274)","(694, 272)","(630, 273)","(612, 392)","(138, 553)","[[-2.57796009]
 [ 0.14637047]
 [ 1.47173681]]","[[ 606.09987445]
 [ 136.06115695]
 [1355.07532518]]"
44,4th,"(565, 275)","(690, 271)","(627, 273)","(609, 391)","(134, 539)","[[-2.57534585]
 [ 0.16022586]
 [ 1.50607139]]","[[ 604.07014327]
 [ 134.39798832]
 [1366.57377549]]"
45,4th,"(561, 275)","(686, 272)","(623, 273)","(608, 393)","(140, 564)","[[-2.58877295]
 [ 0.16263336]
 [ 1.4419186 ]]","[[ 599.42771967]
 [ 137.80427956]
 [1362.20816522]]"
46,4th,"(561, 276)","(687, 271)","(624, 273)","(610, 391)","(169, 566)","[[-2.64539916]
 [ 0.16277847]
 [ 1.36601378]]","[[ 613.73416981]
 [ 138.05059052]
 [1378.20394331]]"
47,4th,"(560, 274)","(687, 271)","(623, 272)","(606, 392)","(134, 565)","[[-2.58497583]
 [ 0.1560309 ]
 [ 1.44206117]]","[[ 593.79646446]
 [ 135.18934338]
 [1354.62188293]]"
48,4th,"(564, 278)","(695, 272)","(629, 275)","(608, 393)","(144, 546)","[[-2.62969798]
 [ 0.1240787 ]
 [ 1.42319934]]","[[ 603.98593983]
 [ 138.60111494]
 [1363.12464369]]"
49,4th,"(562, 280)","(699, 273)","(630, 276)","(604, 392)","(158, 550)","[[-2.6682431 ]
 [ 0.10060153]
 [ 1.3588892 ]]","[[ 605.98961901]
 [ 138.42780948]
 [1363.83379591]]"
50,4th,"(558, 277)","(680, 267)","(619, 272)","(600, 388)","(130, 546)","[[-2.61669182]
 [ 0.15352828]
 [ 1.4438708 ]]","[[ 589.06154285]
 [ 132.00190921]
 [1357.26696606]]"
51,4th,"(603, 277)","(715, 264)","(659, 270)","(654, 378)","(285, 502)","[[-2.75828105]
 [ 0.16038499]
 [ 1.32040275]]","[[ 736.78870371]
 [ 127.55383653]
 [1427.50284524]]"
52,4th,"(597, 273)","(724, 259)","(660, 266)","(651, 374)","(315, 495)","[[-2.78305563]
 [ 0.09798714]
 [ 1.24765761]]","[[ 744.98880713]
 [ 117.91091964]
 [1435.33286015]]"
53,4th,"(595, 247)","(728, 227)","(661, 237)","(657, 345)","(228, 448)","[[-2.66417794]
 [ 0.14431049]
 [ 1.45441092]]","[[ 716.00961568]
 [  51.85188139]
 [1399.86461514]]"
54,4th,"(608, 247)","(724, 227)","(666, 237)","(659, 345)","(223, 440)","[[-2.63152196]
 [ 0.13615437]
 [ 1.50516296]]","[[ 723.43212927]
 [  49.81987766]
 [1418.22276064]]"
55,4th,"(600, 234)","(734, 228)","(667, 231)","(659, 348)","(275, 530)","[[-2.65119739]
 [ 0.1482199 ]
 [ 1.2786057 ]]","[[ 717.30369711]
 [  52.49253899]
 [1380.65065379]]"
56,4th,"(597, 247)","(723, 230)","(660, 238)","(662, 349)","(307, 475)","[[-2.72717107]
 [ 0.14934446]
 [ 1.2861864 ]]","[[ 753.84586895]
 [  57.43463082]
 [1436.20284591]]"
57,3rd,"(592, 226)","(732, 229)","(662, 227)","(660, 347)","(1423, 729)","[[-2.95521143]
 [ 0.07262506]
 [ 0.27515428]]","[[ 756.84221804]
 [  41.4233273 ]
 [1293.20510526]]"
58,4th,"(599, 245)","(721, 228)","(660, 236)","(659, 343)","(267, 465)","[[-2.67018794]
 [ 0.13189608]
 [ 1.37674626]]","[[ 742.14983866]
 [  51.48202646]
 [1431.85077168]]"
59,3rd,"(627, 266)","(760, 265)","(693, 265)","(691, 377)","(1402, 707)","[[-2.99435933]
 [ 0.03621831]
 [ 0.26972262]]","[[ 875.96954014]
 [ 117.13307175]
 [1375.933562  ]]"
60,3rd,"(628, 266)","(762, 266)","(695, 266)","(692, 378)","(1253, 698)","[[-2.98104773]
 [ 0.03152088]
 [ 0.37628685]]","[[ 868.35318548]
 [ 117.72622323]
 [1373.05069713]]"
61,3rd,"(626, 265)","(764, 266)","(695, 265)","(694, 379)","(1244, 724)","[[-2.96194099]
 [ 0.04430248]
 [ 0.38704719]]","[[ 867.00652691]
 [ 115.16808893]
 [1366.50832676]]"
62,3rd,"(632, 290)","(768, 295)","(700, 292)","(698, 404)","(1179, 755)","[[-2.96089072]
 [ 0.03381596]
 [ 0.39460208]]","[[ 905.64837409]
 [ 174.94071532]
 [1419.75150014]]"
63,3rd,"(629, 231)","(759, 243)","(694, 237)","(691, 345)","(1327, 572)","[[-2.99656978e+00]
 [-1.49880241e-03]
 [ 3.22179014e-01]]","[[ 878.07609933]
 [  44.32602574]
 [1379.27754788]]"
64,3rd,"(630, 237)","(758, 239)","(694, 238)","(693, 337)","(1285, 476)","[[-3.0412106 ]
 [ 0.01649255]
 [ 0.289725  ]]","[[ 928.06140609]
 [  37.49935249]
 [1453.55538236]]"
65,3rd,"(636, 230)","(756, 229)","(696, 229)","(699, 319)","(1317, 393)","[[-3.06895892]
 [ 0.03048303]
 [ 0.22747588]]","[[9.68778752e+02]
 [1.27378710e+00]
 [1.49806665e+03]]"
66,3rd,"(637, 227)","(759, 226)","(698, 226)","(702, 315)","(1337, 384)","[[-3.06686513]
 [ 0.04266285]
 [ 0.2148468 ]]","[[ 975.90192166]
 [ -10.19365769]
 [1498.81319181]]"
67,3rd,"(629, 221)","(750, 217)","(689, 219)","(697, 308)","(1370, 372)","[[-3.06366035]
 [ 0.08196426]
 [ 0.18781608]]","[[ 949.28311113]
 [ -27.14868679]
 [1480.05349195]]"
68,3rd,"(628, 220)","(749, 217)","(688, 218)","(702, 309)","(1456, 372)","[[-3.06503533]
 [ 0.08004329]
 [ 0.12869577]]","[[ 953.88529999]
 [ -28.7732432 ]
 [1470.12719146]]"
