,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
77,4th,"(456, 335)","(573, 321)","(514, 328)","(492, 417)","(109, 521)","[[ 2.89434832]
 [-0.21645311]
 [-1.18702241]]","[[ 428.08633076]
 [ 231.3163441 ]
 [1546.14959862]]"
78,4th,"(451, 336)","(566, 322)","(508, 329)","(484, 419)","(92, 522)","[[ 2.88842303]
 [-0.21856988]
 [-1.19348366]]","[[ 408.92941836]
 [ 235.62262376]
 [1545.51065518]]"
79,4th,"(447, 340)","(560, 324)","(503, 332)","(478, 422)","(81, 533)","[[ 2.88118884]
 [-0.25032156]
 [-1.20838502]]","[[ 396.8445143 ]
 [ 243.54860693]
 [1548.45244494]]"
80,4th,"(441, 343)","(554, 326)","(497, 334)","(471, 425)","(61, 535)","[[ 2.87011649]
 [-0.25348822]
 [-1.22456066]]","[[ 377.1057408 ]
 [ 248.86735746]
 [1542.25538449]]"
81,4th,"(435, 346)","(546, 329)","(490, 337)","(463, 429)","(46, 543)","[[ 2.86638046]
 [-0.27048219]
 [-1.22581792]]","[[ 359.34910256]
 [ 256.18120569]
 [1538.89506785]]"
82,4th,"(435, 345)","(547, 329)","(491, 337)","(464, 429)","(48, 556)","[[ 2.88310389]
 [-0.27662964]
 [-1.22123556]]","[[ 359.40146224]
 [ 256.28412561]
 [1534.37430676]]"
83,4th,"(440, 343)","(554, 327)","(497, 335)","(471, 428)","(71, 559)","[[ 2.91868284]
 [-0.23801614]
 [-1.16572742]]","[[ 373.90710721]
 [ 252.16928384]
 [1529.45448412]]"
84,4th,"(451, 343)","(570, 329)","(510, 336)","(488, 427)","(130, 598)","[[ 2.98768332]
 [-0.22990347]
 [-1.07032245]]","[[ 413.36253719]
 [ 252.34762239]
 [1512.3509286 ]]"
85,4th,"(464, 341)","(589, 330)","(526, 335)","(510, 426)","(233, 629)","[[ 3.0544259 ]
 [-0.20076746]
 [-0.92993387]]","[[ 465.15190559]
 [ 252.32467524]
 [1507.6398385 ]]"
86,4th,"(478, 342)","(608, 335)","(543, 338)","(529, 427)","(360, 666)","[[ 3.1156817 ]
 [-0.16660266]
 [-0.78846537]]","[[ 519.05692461]
 [ 260.76193015]
 [1513.55506248]]"
87,4th,"(497, 332)","(627, 331)","(562, 331)","(553, 422)","(520, 688)","[[ 3.17442596]
 [-0.09195609]
 [-0.64300688]]","[[ 581.29368982]
 [ 247.41648459]
 [1507.11860797]]"
88,3rd,"(503, 333)","(635, 334)","(569, 333)","(566, 424)","(689, 713)","[[ 3.1966672 ]
 [-0.05945345]
 [-0.47387321]]","[[ 612.42636954]
 [ 250.67547297]
 [1491.66570391]]"
89,3rd,"(519, 335)","(652, 339)","(585, 337)","(587, 429)","(946, 759)","[[ 3.21949443e+00]
 [ 1.12988840e-03]
 [-2.70518784e-01]]","[[ 661.40570268]
 [ 260.00526101]
 [1469.72061378]]"
90,3rd,"(534, 338)","(665, 343)","(599, 340)","(607, 431)","(1159, 774)","[[ 3.2201276 ]
 [ 0.01312882]
 [-0.12939383]]","[[ 707.19436575]
 [ 261.63874773]
 [1456.24421221]]"
91,3rd,"(551, 337)","(680, 344)","(615, 340)","(628, 432)","(1279, 783)","[[ 3.22316654]
 [ 0.03956122]
 [-0.0736229 ]]","[[ 751.91277571]
 [ 261.75264662]
 [1451.23856731]]"
92,3rd,"(565, 337)","(692, 345)","(628, 341)","(645, 433)","(1363, 774)","[[ 3.2232938 ]
 [ 0.05036324]
 [-0.01547703]]","[[ 796.36530269]
 [ 263.82426517]
 [1463.91043937]]"
93,3rd,"(576, 340)","(700, 349)","(638, 344)","(658, 436)","(1467, 764)","[[3.20519496]
 [0.07458516]
 [0.05292372]]","[[ 828.79012078]
 [ 270.66855334]
 [1462.77872385]]"
94,3rd,"(594, 337)","(715, 348)","(654, 342)","(678, 435)","(1573, 741)","[[3.19202459]
 [0.09529013]
 [0.10616035]]","[[ 875.38854853]
 [ 264.25115681]
 [1462.25199538]]"
95,3rd,"(602, 339)","(721, 350)","(661, 344)","(688, 438)","(1635, 758)","[[3.19537361]
 [0.10918917]
 [0.14880851]]","[[ 898.38618275]
 [ 271.44979662]
 [1461.07360226]]"
96,3rd,"(609, 336)","(728, 349)","(668, 342)","(694, 437)","(1688, 746)","[[3.18507561]
 [0.12092122]
 [0.18400527]]","[[ 914.49014985]
 [ 268.79946976]
 [1458.87296427]]"
97,3rd,"(612, 338)","(730, 350)","(671, 344)","(697, 438)","(1673, 750)","[[3.18942881]
 [0.11460684]
 [0.16590287]]","[[ 923.77472208]
 [ 272.31053533]
 [1464.17458196]]"
98,3rd,"(616, 338)","(734, 350)","(675, 344)","(702, 438)","(1734, 750)","[[3.18331583]
 [0.11931134]
 [0.19399945]]","[[ 927.76739857]
 [ 268.43291746]
 [1451.51796141]]"
99,3rd,"(603, 330)","(725, 342)","(664, 336)","(692, 435)","(1714, 784)","[[3.20383294]
 [0.10320261]
 [0.12413107]]","[[ 891.15226242]
 [ 256.68243454]
 [1425.60678068]]"
100,3rd,"(588, 329)","(714, 339)","(651, 334)","(677, 432)","(1574, 790)","[[-3.0596244 ]
 [-0.06364976]
 [-0.03632734]]","[[ 857.35496415]
 [ 251.87342633]
 [1432.07164867]]"
101,3rd,"(581, 320)","(709, 331)","(645, 325)","(668, 422)","(1517, 759)","[[-3.06469234]
 [-0.0670511 ]
 [ 0.00525419]]","[[ 833.39248891]
 [ 231.02956855]
 [1426.68674968]]"
102,3rd,"(563, 318)","(693, 326)","(628, 322)","(645, 416)","(1306, 732)","[[-3.06077545]
 [-0.03375844]
 [ 0.11628766]]","[[ 786.82051339]
 [ 222.88812425]
 [1440.46357844]]"
103,3rd,"(547, 310)","(678, 316)","(612, 313)","(625, 403)","(1148, 663)","[[-3.07187242]
 [-0.01454868]
 [ 0.19106575]]","[[ 748.20141799]
 [ 198.88477865]
 [1457.07533095]]"
104,3rd,"(529, 307)","(660, 311)","(594, 309)","(601, 396)","(945, 624)","[[-3.06688340e+00]
 [ 1.60971150e-03]
 [ 2.97806394e-01]]","[[ 697.87687551]
 [ 189.00755961]
 [1478.79810329]]"
105,4th,"(512, 299)","(642, 299)","(577, 299)","(574, 380)","(571, 514)","[[-3.04575115]
 [ 0.02384665]
 [ 0.61766237]]","[[ 640.40730572]
 [ 159.57382826]
 [1525.91615306]]"
106,4th,"(492, 295)","(617, 289)","(554, 292)","(540, 365)","(270, 372)","[[-3.03658479]
 [ 0.03278177]
 [ 1.01598135]]","[[ 550.87809808]
 [ 123.93866377]
 [1551.88024919]]"
