,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
92,4th,"(510, 238)","(643, 252)","(576, 245)","(551, 338)","(188, 415)","[[-2.88701948]
 [-0.14254503]
 [ 0.99026914]]","[[ 502.2375799 ]
 [  42.78134641]
 [1355.3061174 ]]"
93,3rd,"(518, 260)","(667, 267)","(592, 263)","(584, 352)","(650, 449)","[[-3.07318652]
 [-0.07208176]
 [ 0.5964897 ]]","[[ 577.30121056]
 [  80.96251652]
 [1303.35070101]]"
94,3rd,"(545, 258)","(689, 266)","(617, 262)","(607, 358)","(898, 526)","[[-3.0683678 ]
 [-0.10067442]
 [ 0.48755561]]","[[ 614.02253764]
 [  88.35102166]
 [1273.79005374]]"
95,3rd,"(562, 257)","(707, 271)","(634, 264)","(624, 361)","(1302, 545)","[[-3.09824704]
 [-0.12876752]
 [ 0.31627353]]","[[ 654.58028792]
 [  90.24875667]
 [1264.50958777]]"
96,3rd,"(563, 261)","(716, 274)","(639, 267)","(633, 361)","(1305, 519)","[[-3.11081349]
 [-0.11495057]
 [ 0.32214188]]","[[ 676.72385938]
 [  93.83805979]
 [1275.67580972]]"
97,3rd,"(569, 259)","(719, 275)","(644, 267)","(639, 362)","(1388, 537)","[[-3.10799931]
 [-0.13573084]
 [ 0.29046828]]","[[ 688.53379471]
 [  96.18087261]
 [1274.60630013]]"
98,3rd,"(574, 259)","(724, 275)","(649, 267)","(644, 362)","(1462, 528)","[[-3.11377444]
 [-0.13428216]
 [ 0.26213835]]","[[ 702.69211708]
 [  93.97632442]
 [1276.66617587]]"
99,3rd,"(577, 260)","(726, 277)","(651, 268)","(648, 364)","(1464, 524)","[[-3.1179796 ]
 [-0.14333344]
 [ 0.26595719]]","[[ 711.62675727]
 [  98.79319703]
 [1279.83620799]]"
100,3rd,"(579, 261)","(728, 281)","(653, 271)","(651, 366)","(1518, 567)","[[-3.10341888]
 [-0.14854719]
 [ 0.23754268]]","[[ 718.98046576]
 [ 101.46858865]
 [1281.23439459]]"
101,3rd,"(581, 262)","(729, 280)","(655, 271)","(655, 366)","(1566, 545)","[[-3.11664828]
 [-0.15696756]
 [ 0.21368187]]","[[ 732.3647727 ]
 [ 104.04942241]
 [1287.47156006]]"
102,3rd,"(584, 263)","(729, 283)","(656, 273)","(658, 367)","(1556, 550)","[[-3.1128937 ]
 [-0.16686632]
 [ 0.20485501]]","[[ 749.69163858]
 [ 107.64063412]
 [1301.87364218]]"
103,3rd,"(587, 262)","(734, 281)","(660, 271)","(661, 367)","(1597, 552)","[[-3.11204752]
 [-0.17152628]
 [ 0.19131257]]","[[ 756.29790065]
 [ 106.22197745]
 [1300.18182228]]"
104,3rd,"(588, 263)","(735, 282)","(661, 272)","(663, 369)","(1604, 567)","[[-3.10875411]
 [-0.17370913]
 [ 0.17532446]]","[[ 767.39327689]
 [ 112.34214173]
 [1309.78620786]]"
105,3rd,"(592, 262)","(738, 283)","(665, 272)","(667, 368)","(1663, 528)","[[-3.12927261]
 [-0.17404164]
 [ 0.16535724]]","[[ 769.9691454 ]
 [ 109.06506035]
 [1302.03938708]]"
