,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
172,4th,"(574, 253)","(691, 256)","(632, 254)","(619, 354)","(450, 658)","[[-2.62412666]
 [ 0.133974  ]
 [ 0.88288482]]","[[ 741.1030483 ]
 [  68.02005261]
 [1531.42167435]]"
173,4th,"(571, 252)","(691, 255)","(631, 253)","(619, 351)","(460, 665)","[[-2.61304658]
 [ 0.13639852]
 [ 0.86761372]]","[[ 745.95230199]
 [  66.24467904]
 [1536.23210483]]"
174,4th,"(550, 241)","(667, 250)","(608, 245)","(594, 348)","(320, 600)","[[-2.58358867]
 [ 0.08482041]
 [ 1.04046761]]","[[ 671.26209294]
 [  51.84856015]
 [1526.3286578 ]]"
175,4th,"(543, 243)","(655, 249)","(599, 246)","(579, 344)","(276, 557)","[[-2.57982661]
 [ 0.06713698]
 [ 1.12196281]]","[[ 651.40595799]
 [  48.41415793]
 [1559.44413239]]"
176,4th,"(536, 239)","(650, 246)","(593, 242)","(578, 343)","(293, 591)","[[-2.57625956]
 [ 0.09319709]
 [ 1.05309444]]","[[ 638.836468  ]
 [  43.9454386 ]
 [1537.31075452]]"
177,4th,"(536, 239)","(652, 244)","(594, 241)","(575, 340)","(266, 558)","[[-2.5695678 ]
 [ 0.06518437]
 [ 1.11757324]]","[[ 634.39199704]
 [  38.14430431]
 [1551.41213469]]"
178,4th,"(531, 237)","(640, 241)","(585, 239)","(567, 337)","(228, 512)","[[-2.5954636 ]
 [ 0.07101615]
 [ 1.20051448]]","[[ 612.74467931]
 [  29.41617901]
 [1557.01087278]]"
179,4th,"(526, 236)","(634, 240)","(580, 238)","(559, 338)","(206, 517)","[[-2.57290655]
 [ 0.059781  ]
 [ 1.21336389]]","[[ 588.75346797]
 [  28.06734867]
 [1543.19293312]]"
180,4th,"(524, 240)","(637, 241)","(580, 240)","(556, 339)","(220, 518)","[[-2.58419657]
 [ 0.05961362]
 [ 1.18637929]]","[[ 594.4398054 ]
 [  31.78542922]
 [1573.83433658]]"
181,4th,"(524, 239)","(638, 241)","(581, 240)","(554, 338)","(214, 520)","[[-2.57721864]
 [ 0.04730063]
 [ 1.18653409]]","[[ 587.98947017]
 [  30.9832402 ]
 [1563.47304875]]"
182,4th,"(521, 240)","(635, 241)","(578, 240)","(554, 337)","(244, 534)","[[-2.60443708]
 [ 0.06847215]
 [ 1.11314762]]","[[ 596.97096163]
 [  30.27483124]
 [1576.24333907]]"
183,4th,"(522, 240)","(633, 242)","(577, 241)","(555, 337)","(230, 526)","[[-2.57663495]
 [ 0.06923851]
 [ 1.16563003]]","[[ 599.18529648]
 [  29.71695157]
 [1582.71647303]]"
184,4th,"(522, 237)","(629, 241)","(575, 239)","(556, 337)","(210, 522)","[[-2.56614283]
 [ 0.0625031 ]
 [ 1.20373003]]","[[ 588.38914654]
 [  29.28166732]
 [1556.52986237]]"
185,4th,"(526, 240)","(640, 240)","(583, 240)","(560, 338)","(219, 519)","[[-2.57979217]
 [ 0.0676316 ]
 [ 1.19822529]]","[[ 598.81492526]
 [  31.51033829]
 [1561.20478042]]"
186,4th,"(534, 236)","(648, 237)","(591, 236)","(570, 335)","(266, 536)","[[-2.59973018]
 [ 0.06308746]
 [ 1.10964659]]","[[ 630.16015398]
 [  25.64354717]
 [1561.72096461]]"
187,4th,"(547, 236)","(670, 235)","(608, 235)","(591, 333)","(375, 565)","[[-2.65517975]
 [ 0.09023218]
 [ 0.94924754]]","[[ 691.80687988]
 [  24.7491054 ]
 [1573.27870096]]"
188,4th,"(575, 231)","(694, 230)","(634, 230)","(625, 330)","(517, 585)","[[-2.70813655]
 [ 0.121001  ]
 [ 0.80985362]]","[[ 776.8961306 ]
 [  20.74886163]
 [1568.51936539]]"
189,4th,"(551, 234)","(675, 231)","(613, 232)","(602, 329)","(381, 587)","[[-2.62004294]
 [ 0.13103384]
 [ 0.96094445]]","[[ 702.15767841]
 [  17.74964349]
 [1548.5593541 ]]"
190,4th,"(550, 236)","(671, 233)","(610, 234)","(600, 331)","(451, 604)","[[-2.66308522]
 [ 0.14930562]
 [ 0.84187025]]","[[ 717.74803069]
 [  24.67016862]
 [1573.19260917]]"
191,4th,"(550, 235)","(672, 232)","(611, 233)","(597, 328)","(360, 569)","[[-2.61926903]
 [ 0.12259813]
 [ 0.99840924]]","[[ 698.87058625]
 [  20.3094482 ]
 [1570.24236415]]"
192,4th,"(538, 229)","(655, 231)","(596, 230)","(580, 329)","(329, 595)","[[-2.62376473]
 [ 0.11148586]
 [ 0.95863208]]","[[ 632.34359855]
 [  14.26731297]
 [1505.77124084]]"
193,4th,"(530, 237)","(653, 234)","(591, 235)","(576, 334)","(316, 588)","[[-2.62786631]
 [ 0.10868319]
 [ 0.98273228]]","[[ 629.68833546]
 [  28.81337155]
 [1526.28807609]]"
194,4th,"(540, 236)","(651, 234)","(595, 235)","(577, 329)","(343, 594)","[[-2.63992382]
 [ 0.1472586 ]
 [ 0.94198453]]","[[ 635.96591058]
 [  19.03322213]
 [1527.50112031]]"
195,4th,"(531, 229)","(650, 224)","(590, 226)","(578, 318)","(351, 533)","[[-2.66059349]
 [ 0.14418409]
 [ 0.9742761 ]]","[[ 668.36023818]
 [  -5.02907998]
 [1599.10432324]]"
196,4th,"(525, 218)","(640, 210)","(582, 214)","(570, 301)","(306, 463)","[[-2.66381774]
 [ 0.13680818]
 [ 1.07523423]]","[[ 659.35092939]
 [ -49.79162907]
 [1633.96767796]]"
197,4th,"(521, 216)","(635, 206)","(578, 211)","(565, 296)","(320, 467)","[[-2.67071624]
 [ 0.16547344]
 [ 1.03056038]]","[[ 653.59742398]
 [ -61.0021632 ]
 [1643.33405156]]"
198,4th,"(518, 215)","(632, 206)","(575, 210)","(564, 297)","(301, 469)","[[-2.65438402]
 [ 0.16964089]
 [ 1.06818794]]","[[ 645.08197642]
 [ -58.24051289]
 [1634.39806212]]"
199,4th,"(523, 201)","(624, 206)","(573, 203)","(561, 300)","(251, 501)","[[-2.58397934]
 [ 0.15025419]
 [ 1.11989143]]","[[ 602.09051281]
 [ -50.7953513 ]
 [1568.25563806]]"
200,4th,"(543, 226)","(658, 218)","(600, 222)","(591, 310)","(390, 504)","[[-2.69125875]
 [ 0.16476818]
 [ 0.95981667]]","[[ 713.3228934 ]
 [ -24.93187876]
 [1625.40624004]]"
201,4th,"(571, 246)","(696, 242)","(633, 244)","(634, 343)","(548, 649)","[[-2.66802712]
 [ 0.18057338]
 [ 0.78567558]]","[[ 790.26403801]
 [  46.11996871]
 [1551.9941194 ]]"
202,4th,"(569, 246)","(694, 242)","(631, 244)","(635, 344)","(606, 664)","[[-2.70856022]
 [ 0.20466793]
 [ 0.71510266]]","[[ 786.11933573]
 [  47.71224505]
 [1526.82920487]]"
203,4th,"(568, 244)","(694, 240)","(631, 242)","(634, 346)","(578, 657)","[[-2.70758699]
 [ 0.1974102 ]
 [ 0.74791104]]","[[ 781.24565691]
 [  53.29768499]
 [1530.45214577]]"
204,4th,"(566, 244)","(694, 240)","(630, 242)","(634, 346)","(540, 643)","[[-2.67814971]
 [ 0.19732859]
 [ 0.80404887]]","[[ 792.41421668]
 [  54.39304343]
 [1558.78103581]]"
205,4th,"(563, 252)","(688, 243)","(625, 247)","(632, 345)","(587, 632)","[[-2.72343538]
 [ 0.19417335]
 [ 0.73417737]]","[[ 795.78548183]
 [  51.03628185]
 [1567.59128507]]"
206,4th,"(560, 250)","(686, 243)","(623, 246)","(630, 345)","(578, 646)","[[-2.71021718]
 [ 0.20631787]
 [ 0.73923571]]","[[ 783.4320295 ]
 [  51.27537407]
 [1554.08645289]]"
207,4th,"(559, 231)","(685, 242)","(622, 236)","(628, 343)","(564, 685)","[[-2.67710527]
 [ 0.23233432]
 [ 0.74522336]]","[[ 751.54848676]
 [  44.64805263]
 [1502.39669407]]"
208,4th,"(561, 248)","(687, 241)","(624, 244)","(627, 343)","(531, 644)","[[-2.68325032]
 [ 0.19894628]
 [ 0.79464089]]","[[ 767.72754996]
 [  46.28314286]
 [1543.1529728 ]]"
209,4th,"(550, 233)","(689, 238)","(619, 235)","(627, 343)","(518, 659)","[[-2.66009817]
 [ 0.22813983]
 [ 0.80874527]]","[[ 754.73876824]
 [  41.54008244]
 [1525.04585047]]"
210,4th,"(556, 245)","(682, 237)","(619, 241)","(627, 345)","(584, 628)","[[-2.73272904]
 [ 0.22026802]
 [ 0.72809237]]","[[ 786.85077315]
 [  51.60296874]
 [1575.67194239]]"
211,4th,"(555, 244)","(680, 236)","(617, 240)","(624, 345)","(537, 627)","[[-2.7127965 ]
 [ 0.22479255]
 [ 0.79071027]]","[[ 769.96875949]
 [  50.40512189]
 [1559.64812043]]"
212,4th,"(551, 244)","(677, 235)","(614, 239)","(621, 345)","(537, 636)","[[-2.71433744]
 [ 0.22326194]
 [ 0.77803864]]","[[ 758.03225665]
 [  51.54472311]
 [1549.29263874]]"
213,4th,"(547, 244)","(675, 234)","(611, 239)","(619, 345)","(460, 630)","[[-2.66992957]
 [ 0.24721529]
 [ 0.89473437]]","[[ 740.5908253 ]
 [  51.02002623]
 [1535.90970619]]"
214,4th,"(551, 245)","(676, 235)","(613, 240)","(620, 344)","(514, 632)","[[-2.70543895]
 [ 0.24776518]
 [ 0.81534423]]","[[ 753.8860583 ]
 [  50.80941861]
 [1548.04544167]]"
215,4th,"(551, 244)","(675, 237)","(613, 240)","(620, 347)","(515, 627)","[[-2.70991099]
 [ 0.22021501]
 [ 0.81071688]]","[[ 758.78073735]
 [  57.07234983]
 [1560.80732635]]"
216,4th,"(550, 244)","(675, 235)","(612, 239)","(621, 345)","(571, 636)","[[-2.73066855]
 [ 0.24282334]
 [ 0.73160005]]","[[ 764.49081129]
 [  50.61561911]
 [1561.20870156]]"
217,4th,"(486, 320)","(526, 320)","(506, 320)","(503, 340)","(458, 341)","[[-2.98534717]
 [-0.0753223 ]
 [ 0.98072994]]","[[1754.47103018]
 [ 246.99314994]
 [5789.82374938]]"
218,4th,"(477, 293)","(517, 293)","(497, 293)","(496, 318)","(464, 349)","[[-2.8209719 ]
 [ 0.0156954 ]
 [ 0.72425325]]","[[1572.32660677]
 [  43.87846318]
 [5373.01407823]]"
219,4th,"(477, 266)","(521, 267)","(499, 266)","(496, 289)","(450, 298)","[[-2.90244162]
 [-0.06247286]
 [ 0.86581151]]","[[1507.5599495 ]
 [-192.56175275]
 [5165.61897181]]"
220,3rd,"(626, 98)","(759, 98)","(692, 98)","(699, 179)","(1874, -11)","[[-3.02632627]
 [ 0.01165144]
 [ 0.06482051]]","[[ 859.61815865]
 [-283.92484012]
 [1319.62690708]]"
