,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
340,3rd,"(654, 298)","(802, 299)","(728, 298)","(738, 400)","(2812, 747)","[[-3.16582653]
 [-0.03575682]
 [-0.00585562]]","[[ 880.76192534]
 [ 178.23485835]
 [1220.87983804]]"
341,4th,"(588, 303)","(723, 296)","(655, 299)","(633, 390)","(182, 398)","[[-2.89471673]
 [ 0.08376806]
 [ 1.44227633]]","[[ 644.19681942]
 [ 162.40197716]
 [1338.58988704]]"
342,4th,"(570, 293)","(712, 289)","(641, 291)","(622, 383)","(191, 396)","[[ 2.77006833]
 [-0.0744816 ]
 [-1.2952405 ]]","[[ 631.08710325]
 [ 148.3661805 ]
 [1341.93800767]]"
343,4th,"(568, 295)","(709, 288)","(638, 291)","(621, 386)","(89, 397)","[[-2.80307378]
 [ 0.123012  ]
 [ 1.61625743]]","[[ 584.38792772]
 [ 152.6748395 ]
 [1286.98213674]]"
344,4th,"(559, 304)","(703, 297)","(631, 300)","(617, 399)","(127, 418)","[[-2.88086337]
 [ 0.13650338]
 [ 1.48771068]]","[[ 596.01149656]
 [ 178.93305715]
 [1318.26840793]]"
345,4th,"(552, 342)","(717, 339)","(634, 340)","(613, 442)","(107, 531)","[[ 2.71443378]
 [-0.18660371]
 [-1.45096689]]","[[ 585.49900309]
 [ 256.50973041]
 [1305.13125156]]"
346,4th,"(539, 362)","(687, 357)","(613, 359)","(620, 471)","(162, 623)","[[ 2.79653768]
 [-0.2240354 ]
 [-1.34440409]]","[[ 612.2684521 ]
 [ 312.44451787]
 [1322.93722403]]"
347,4th,"(559, 361)","(704, 360)","(631, 360)","(625, 484)","(222, 714)","[[ 2.89482976]
 [-0.22445263]
 [-1.20265513]]","[[ 619.48475587]
 [ 325.00877241]
 [1298.54169575]]"
348,3rd,"(605, 339)","(757, 338)","(681, 338)","(692, 454)","(2748, 1131)","[[ 3.11847547]
 [-0.0313491 ]
 [-0.09891182]]","[[ 754.25549895]
 [ 253.11765533]
 [1175.00244887]]"
349,3rd,"(619, 318)","(789, 316)","(704, 317)","(741, 416)","(2758, 807)","[[ 3.12558138]
 [-0.01901591]
 [ 0.01758729]]","[[ 874.07736678]
 [ 195.20336797]
 [1226.01550809]]"
350,3rd,"(650, 306)","(796, 302)","(723, 304)","(747, 403)","(2654, 745)","[[-3.14705573]
 [ 0.02021492]
 [ 0.0140988 ]]","[[ 887.72752214]
 [ 168.02477069]
 [1234.40252836]]"
351,3rd,"(645, 277)","(793, 276)","(719, 276)","(745, 358)","(2183, 407)","[[-3.19392216]
 [ 0.01448757]
 [ 0.0978127 ]]","[[ 908.72175034]
 [  96.3708132 ]
 [1279.70170388]]"
352,3rd,"(643, 278)","(786, 279)","(714, 278)","(737, 363)","(2158, 429)","[[-3.1909557 ]
 [ 0.02491821]
 [ 0.06554183]]","[[ 905.82173341]
 [ 104.78846919]
 [1290.50789263]]"
353,3rd,"(642, 280)","(786, 281)","(714, 280)","(735, 402)","(3035, 985)","[[-3.05390947]
 [ 0.02760487]
 [-0.10612045]]","[[ 858.86934623]
 [ 144.68826448]
 [1207.13208341]]"
354,3rd,"(642, 275)","(789, 276)","(715, 275)","(742, 362)","(2122, 450)","[[-3.17218787]
 [ 0.04227696]
 [ 0.06889829]]","[[ 919.22835266]
 [  97.58289488]
 [1300.76658417]]"
355,3rd,"(646, 276)","(792, 279)","(719, 277)","(745, 364)","(2105, 462)","[[-3.17061609]
 [ 0.03984532]
 [ 0.07263298]]","[[ 929.62989956]
 [ 103.61915708]
 [1306.52904066]]"
356,3rd,"(649, 277)","(793, 279)","(721, 278)","(747, 365)","(2234, 448)","[[-3.18122619]
 [ 0.02300915]
 [ 0.04737844]]","[[ 923.37490685]
 [ 103.00853138]
 [1289.24427196]]"
357,3rd,"(648, 277)","(793, 279)","(720, 278)","(747, 365)","(2236, 476)","[[-3.17020117]
 [ 0.01940548]
 [ 0.04875547]]","[[ 922.71923969]
 [ 105.00886907]
 [1288.74989489]]"
358,3rd,"(588, 288)","(733, 279)","(660, 283)","(655, 371)","(984, 477)","[[ 3.06444   ]
 [-0.05046315]
 [-0.53013461]]","[[ 736.9811022 ]
 [ 123.33592991]
 [1313.88642865]]"
359,4th,"(573, 290)","(711, 286)","(642, 288)","(625, 377)","(261, 388)","[[ 2.84335857]
 [-0.04574295]
 [-1.14698878]]","[[ 643.63814529]
 [ 134.20056745]
 [1337.16559744]]"
360,2nd,"(637, 319)","(780, 315)","(708, 317)","(698, 405)","(758, 389)","[[ 2.89385218]
 [-0.01889292]
 [-0.76184144]]","[[ 822.0656417 ]
 [ 197.39010712]
 [1324.79806868]]"
361,3rd,"(462, 313)","(615, 299)","(538, 306)","(506, 393)","(-93, 353)","[[ 2.74292197]
 [-0.05430786]
 [-1.21431462]]","[[ 363.92655948]
 [ 152.0457037 ]
 [1241.08699053]]"
362,3rd,"(430, 282)","(589, 276)","(509, 279)","(486, 379)","(-280, 425)","[[ 2.84789333]
 [-0.11501849]
 [-1.11582745]]","[[ 298.53624678]
 [ 120.32857979]
 [1133.78205444]]"
363,3rd,"(460, 266)","(616, 257)","(538, 261)","(522, 360)","(-314, 318)","[[ 2.77347664]
 [-0.0906775 ]
 [-1.18500038]]","[[ 323.43450446]
 [  94.22176268]
 [1082.9818588 ]]"
364,3rd,"(509, 276)","(660, 268)","(584, 272)","(559, 378)","(-189, 401)","[[ 2.75858906]
 [-0.06315101]
 [-1.34520574]]","[[ 396.90190726]
 [ 115.85539215]
 [1101.08724919]]"
365,1st,"(529, 272)","(705, 274)","(617, 273)","(601, 378)","(122, 322)","[[-3.10420769]
 [ 0.01461818]
 [ 0.99767647]]","[[ 490.86626357]
 [ 115.16733767]
 [1102.76299608]]"
366,3rd,"(569, 261)","(734, 265)","(651, 263)","(648, 381)","(6329, 1761)","[[-3.11086568]
 [-0.01174812]
 [ 0.05548181]]","[[ 609.78444996]
 [ 108.13467638]
 [1058.52877508]]"
367,3rd,"(586, 287)","(720, 288)","(653, 287)","(662, 367)","(1593, 396)","[[ 3.06254128]
 [-0.02470046]
 [-0.08377098]]","[[ 786.54363749]
 [ 124.9372738 ]
 [1352.33039045]]"
368,3rd,"(579, 314)","(724, 307)","(651, 310)","(668, 398)","(1692, 576)","[[ 3.09097496]
 [-0.08939002]
 [-0.10773799]]","[[ 777.7718703 ]
 [ 180.61855124]
 [1316.59467004]]"
369,3rd,"(598, 302)","(765, 300)","(681, 301)","(704, 391)","(2202, 579)","[[ 3.09441194]
 [-0.03444884]
 [-0.06907846]]","[[ 819.11316855]
 [ 154.97916425]
 [1253.85359067]]"
370,3rd,"(662, 300)","(818, 306)","(740, 303)","(760, 402)","(3658, 826)","[[3.10949365]
 [0.03891876]
 [0.01144891]]","[[ 869.1124784 ]
 [ 166.5042552 ]
 [1163.25344209]]"
371,3rd,"(675, 289)","(824, 285)","(749, 287)","(787, 384)","(4304, 598)","[[ 3.08245816]
 [-0.03657236]
 [ 0.08883015]]","[[ 907.58730302]
 [ 127.37873582]
 [1147.69370601]]"
372,3rd,"(683, 288)","(823, 287)","(753, 287)","(783, 390)","(3951, 633)","[[ 3.0918152 ]
 [-0.02450708]
 [ 0.07633711]]","[[ 918.45030078]
 [ 134.48171603]
 [1163.72734906]]"
373,3rd,"(601, 299)","(750, 289)","(675, 294)","(687, 389)","(1666, 589)","[[ 3.08347054]
 [-0.09052733]
 [-0.34621356]]","[[ 757.01817312]
 [ 139.91696333]
 [1221.20572863]]"
374,4th,"(543, 291)","(699, 280)","(621, 285)","(608, 382)","(100, 400)","[[ 2.7826622 ]
 [-0.16473017]
 [-1.18976844]]","[[ 545.05568709]
 [ 133.21098975]
 [1214.8385859 ]]"
375,4th,"(540, 291)","(693, 282)","(616, 286)","(599, 385)","(168, 437)","[[ 2.86910189]
 [-0.10704477]
 [-1.11769597]]","[[ 555.38539558]
 [ 137.23625779]
 [1265.39899238]]"
376,4th,"(531, 298)","(672, 291)","(601, 294)","(589, 399)","(71, 501)","[[ 2.8558601 ]
 [-0.1446526 ]
 [-1.23334065]]","[[ 518.30965606]
 [ 152.44628504]
 [1227.73633221]]"
377,4th,"(514, 347)","(658, 347)","(586, 347)","(573, 469)","(61, 767)","[[ 2.93427763]
 [-0.26794405]
 [-1.27451695]]","[[ 496.1365975 ]
 [ 275.71366597]
 [1239.08320569]]"
378,4th,"(507, 354)","(664, 351)","(585, 352)","(572, 472)","(59, 778)","[[ 2.93246194]
 [-0.26898594]
 [-1.2297597 ]]","[[ 490.30109307]
 [ 281.65108232]
 [1228.41116103]]"
