,quadrant,left_pupil,right_pupil,gaze_center_x,gaze_center_y,nose_end_points,gaze_end_points
161,3rd,"(533, 269)","(651, 275)",592,272,"(587, 376)","(1432, 721)"
162,4th,"(513, 324)","(594, 305)",553,314,"(562, 386)","(371, 467)"
163,4th,"(500, 273)","(619, 276)",559,274,"(553, 379)","(318, 540)"
164,3rd,"(497, 271)","(619, 272)",558,271,"(554, 376)","(1338, 693)"
165,3rd,"(490, 271)","(613, 273)",551,272,"(547, 377)","(1225, 686)"
166,4th,"(496, 320)","(561, 299)",528,309,"(534, 387)","(435, 590)"
167,4th,"(476, 331)","(561, 301)",518,316,"(533, 390)","(414, 562)"
168,3rd,"(496, 320)","(561, 299)",528,309,"(537, 384)","(722, 587)"
169,4th,"(496, 318)","(559, 300)",527,309,"(531, 388)","(278, 471)"
170,4th,"(478, 329)","(558, 305)",518,317,"(530, 387)","(347, 465)"
171,4th,"(467, 333)","(557, 303)",512,318,"(518, 393)","(308, 555)"
172,4th,"(504, 304)","(591, 276)",547,290,"(532, 386)","(209, 485)"
173,4th,"(468, 281)","(582, 276)",525,278,"(509, 386)","(43, 539)"
174,1st,"(502, 304)","(583, 278)",542,291,"(524, 384)","(381, 378)"
175,3rd,"(472, 277)","(587, 273)",529,275,"(502, 377)","(-9, 538)"
176,4th,"(469, 278)","(593, 272)",531,275,"(517, 382)","(103, 581)"
177,4th,"(467, 277)","(593, 273)",530,275,"(521, 382)","(167, 610)"
178,3rd,"(466, 277)","(584, 273)",525,275,"(524, 383)","(594, 664)"
179,4th,"(465, 277)","(592, 272)",528,274,"(523, 384)","(418, 669)"
180,4th,"(467, 276)","(587, 272)",527,274,"(519, 381)","(119, 601)"
181,4th,"(474, 278)","(594, 272)",534,275,"(514, 381)","(69, 577)"
182,4th,"(480, 280)","(598, 274)",539,277,"(521, 383)","(93, 540)"
183,4th,"(476, 276)","(596, 271)",536,273,"(525, 380)","(108, 550)"
184,4th,"(451, 334)","(558, 297)",504,315,"(527, 391)","(366, 560)"
185,4th,"(467, 281)","(579, 278)",523,279,"(517, 388)","(76, 550)"
